题号,并列章节,状态,机器候选,题干,选项,答案,顾问结论（CH几 / 保留并列 / 其他意见）
02-290,"CH21,CH23",🔒 保留并列（无信号，需裁决）,—,对伴有心律失常的心绞痛患者最好选用,A. 硝酸甘油 / B. 普萘洛尔 / C. 硝酸异山梨酯 / D. 氨氯地平 / E. 硝苯地平,B,
03-092,"CH21,CH23",✅ 有机器候选（建议确认）,CH23,阵发性室上性心动过速并发变异型心绞痛，宜采用的治疗药物是,A. 维拉帕米 / B. 利多卡因 / C. 普鲁卡因胺 / D. 奎尼丁 / E. 普萘洛尔,A,
01-242,"CH21,CH25",🔒 保留并列（无信号，需裁决）,—,伴有支气管哮喘的心绞痛患者不宜选用,A. 普萘洛尔 / B. 地尔硫䓬 / C. 维拉帕米 / D. 硝酸甘油 / E. 卡托普利,A,
01-049,"CH22,CH23",🔒 保留并列（无信号，需裁决）,—,强心苷中毒引起的心律失常，不宜用氯化钾的是,A. 房室结性心动过速 / B. 室性心动过速 / C. 室性期前收缩 / D. 房室传导阻滞 / E. 房性心动过速,D,
01-162,"CH22,CH23",🔒 保留并列（无信号，需裁决）,—,患者，男，59岁，患有风湿性心脏病，伴发房颤，用地高辛治疗后，房颤变成正常心律，最可能的作用机理是,A. 缩短心肌不应期 / B. 降低心房肌最大舒张电位 / C. 降低浦氏纤维的自律性 / D. 降低房室结的传导速度 / E. 缩短心肌收缩速率,D,
01-296,"CH22,CH23",🔒 保留并列（无信号，需裁决）,—,强心苷治疗房颤的药理基础是,A. 抑制窦房结自律性 / B. 加强心肌收缩力 / C. 缩短心房的ERP / D. 增加房室结的隐匿性传导 / E. 抑制房室传导，消除房室结区的折返,D,
02-205,"CH22,CH23",✅ 有机器候选（建议确认）,CH23,强心苷中毒所致室性心律失常可选用,A. 利多卡因 / B. 美西律 / C. 普萘洛尔 / D. 地尔硫卓 / E. 普鲁卡因胺,A,
02-264,"CH22,CH23",🔒 保留并列（无信号，需裁决）,—,强心苷减慢房颤时的心室率主要是由于,A. 减少房室结中的隐匿性传导 / B. 降低心房自律性 / C. 增加房室结中的隐匿性传导 / D. 降低心室自律性 / E. 降低窦房结自律性,C,
01-181,"CH25,CH29",🔒 保留并列（无信号，需裁决）,—,患者，女，17岁。有支气管哮喘病史5年。2天前，出现打喷嚏、喘息、咳嗽、胸闷等症状，诊断为支气管哮喘复发。给予抗过敏药、糖皮质激素和支气管平滑肌舒张剂等联合治疗。糖皮质激素长期治疗哮喘首选的给药途径是,A. 口服 / B. 吸入 / C. 肌内注射 / D. 皮下注射 / E. 静脉注射,B,
01-228,"CH25,CH31",🔒 保留并列（无信号，需裁决）,—,患者，女，45岁。有轻度甲状腺功能亢进病史2年，并患有支气管哮喘，合用下列药物半年，出现皮肤变薄、多毛、糖尿。引起该不良反应的药物应是,A. 卡比马唑 / B. 曲安西龙 / C. 沙丁胺醇 / D. 甲硫氧嘧啶 / E. 氨茶碱,B,
01-161,"CH26,CH35",🔒 保留并列（无信号，需裁决）,—,患者，男，53岁。门诊诊断为Hp（＋），医生处方：胃必治2包，po，tid。Hp根除治疗：阿莫西林0.5g，po，tid；奥美拉唑20mg，po，bid。患者用药1周不见好转。该治疗方案应考虑加入下面哪种药物,A. 克拉霉素 / B. 头孢噻肟 / C. 阿奇霉素 / D. 林可霉素 / E. 埃索美拉唑,A,
03-097,"CH27,CH34",⚠️ 可疑（候选存疑，需重点复核）,CH27,甲氧苄啶长期大量服用会引起人体叶酸缺乏症，原因是人体的哪种酶被抑制,A. 二氢叶酸还原酶 / B. 四氢叶酸还原酶 / C. 二氢蝶酸合成酶 / D. 一碳单位转移酶 / E. 葡萄糖-6-磷酸脱氢酶,A,
02-280,"CH3,CH15",✅ 有机器候选（建议确认）,CH15,阿片受体激动药为,A. 肾上腺素 / B. 吗啡 / C. 阿托品 / D. 普萘洛尔 / E. 纳洛酮,B,
03-123,"CH3,CH15",✅ 有机器候选（建议确认）,CH15,阿片受体拮抗药为,A. 苯佐那酯 / B. 吗啡 / C. 喷他佐辛 / D. 喷托维林 / E. 纳洛酮,E,
03-105,"CH3,CH21",🔒 保留并列（无信号，需裁决）,—,下列哪种药物为治疗心绞痛的钙拮抗药,A. 硝苯地平 / B. 普萘洛尔 / C. 硝酸甘油 / D. 硝酸异山梨酯 / E. 特拉唑嗪,A,
01-068,"CH3,CH5,CH6",🔒 保留并列（无信号，需裁决）,—,患儿，男，9岁，因误食林中色彩鲜艳的蘑菇出现中毒症状，采用阿托品进行治疗。阿托品对乙酰胆碱量效曲线的影响是,A. 平行右移，最大效应不变 / B. 右移，最大效应降低 / C. 平行左移，最大效应不变 / D. 左移，最大效应降低 / E. 不变,A,
03-035,"CH3,CH7",🔒 保留并列（无信号，需裁决）,—,下列药物哪种是中枢多巴胺受体拮抗药,A. 阿托品 / B. 安定 / C. 尼可刹米 / D. 氯丙嗪 / E. 哌替啶,D,
02-025,"CH33,CH35",🔒 保留并列（无信号，需裁决）,—,青霉素的抗菌谱不包括,A. 肺炎球菌 / B. 脑膜炎双球菌 / C. 破伤风杆菌 / D. 伤寒杆菌 / E. 钩端螺旋体,D,
02-006,"CH33,CH38",🔒 保留并列（无信号，需裁决）,—,下列哪项不是四环素类产生耐药性的机制,A. 产生灭活酶 / B. 产生核糖体保护蛋白 / C. 缺乏自溶酶 / D. 减少药物进入菌体 / E. 促进药物主动外排,C,
03-022,"CH33,CH42",🔒 保留并列（无信号，需裁决）,—,化疗指数是指,A. ED95/LD5 / B. LD95/ED5 / C. LD50/ED50 / D. LD50＝ED50 / E. ED5＝LD95,C,
03-109,"CH34,CH36",✅ 有机器候选（建议确认）,CH36,下列药物中对支原体肺炎首选药是,A. 红霉素 / B. 利福平 / C. 磺胺嘧啶 / D. 链霉素 / E. 青霉素,A,
01-003,"CH35,CH36",✅ 有机器候选（建议确认）,CH36,金黄色葡萄球菌引起的急慢性骨髓炎最好选用,A. 阿莫西林 / B. 红霉素 / C. 头孢曲松 / D. 克林霉素 / E. 克拉霉素,D,
01-145,"CH35,CH37",🔒 保留并列（无信号，需裁决）,—,患者，男，50岁。持续高热，剧烈头痛入院，用青霉素、链霉素治疗3天，无明显效果。发病第5日于胸、肩、背等处发现直径2～4mm的圆形鲜红色丘疹，经进一步检查诊断为斑疹伤寒，宜选用,A. 庆大霉素 / B. 磺胺嘧啶 / C. 头孢拉定 / D. 林可霉素 / E. 四环素,E,
02-142,"CH35,CH37",✅ 有机器候选（建议确认）,CH37,对肠道革兰阴性杆菌和铜绿假单胞菌，所产生的多种氨基糖苷类灭活酶稳定的氨基糖苷类抗生素是,A. 卡那霉素 / B. 阿米卡星 / C. 链霉素 / D. 青霉素 / E. 妥布霉素,B,
01-225,"CH5,CH6",✅ 有机器候选（建议确认）,CH6,患者，女，18岁。患有重症肌无力2年，一直使用新斯的明治疗。今天患者突然出现恶心、呕吐、心悸汗出、血压下降、肌肉震颤及肌无力加重等症状，考虑为“胆碱能危象”。应选择的治疗药物是,A. 毛果芸香碱 / B. 肾上腺素 / C. 多巴胺 / D. 阿托品 / E. 毒扁豆碱,D,
01-080,"CH5,CH7",✅ 有机器候选（建议确认）,CH7,患者，男，29岁。因败血症休克接受静脉滴注去甲肾上腺素治疗时不慎出现药液外漏，引起皮肤苍白和疼痛。为防止局部组织缺血坏死，应皮下浸润注射,A. 酚妥拉明 / B. 阿托品 / C. 育亨宾 / D. 普萘洛尔 / E. 美卡拉明,A,
01-122,"CH5,CH7",✅ 有机器候选（建议确认）,CH7,患者，女，20岁。因神经源性休克给予去甲肾上腺素治疗，在滴注过程中发现局部皮肤变得苍白，皮温下降。此时除更换注射部位，局部热敷以外，还应给予,A. 多巴胺 / B. 麻黄碱 / C. 酚妥拉明 / D. 普萘洛尔 / E. 阿托品,C,
02-187,"CH5,CH7",🔒 保留并列（无信号，需裁决）,—,去甲肾上腺素禁止肌肉或皮下注射给药，原因是,A. 易致心律失常 / B. 升压过强 / C. 无效 / D. 吸收慢，出现作用慢 / E. 强烈收缩局部血管，引起局部组织缺血坏死,E,
02-204,"CH5,CH7",✅ 有机器候选（建议确认）,CH7,可用于处理去甲肾上腺素静脉滴注外漏引起局部缺血的药物是,A. 酚妥拉明 / B. 阿托品 / C. 去氧肾上腺素 / D. 多巴胺 / E. 普萘洛尔,A,
03-033,"CH5,CH7",🔒 保留并列（无信号，需裁决）,—,去甲肾上腺素扩张冠脉的原因是,A. 激动α2受体 / B. 阻断α1受体 / C. 激动β2受体 / D. 兴奋心脏，使心肌代谢产物增加 / E. 激动M受体,D,
03-096,"CH5,CH7",🔒 保留并列（无信号，需裁决）,—,去甲肾上腺素减慢心率是由于,A. 降低外周阻力 / B. 抑制心脏传导 / C. 直接的负性频率作用 / D. 抑制心血管中枢的调节 / E. 血压升高引起的继发性效应,E,
01-102,"CH6,CH15",✅ 有机器候选（建议确认）,CH6,患者，女，30岁。家人发现其神志不清2小时，皮肤湿冷，双侧瞳孔缩小，呼气有大蒜味，双肺可闻及散在湿啰音。患者病因最可能是,A. 吗啡中毒 / B. 有机磷农药中毒 / C. 安眠药中毒 / D. 脑出血 / E. 阿托品中毒,B,
02-288,"CH6,CH16",✅ 有机器候选（建议确认）,CH16,下列用于治疗阿尔茨海默病的药物中，不属于胆碱酯酶抑制剂的是,A. 多奈哌齐 / B. 美金刚 / C. 石杉碱甲 / D. 加兰他敏 / E. 利斯的明,B,
01-113,"CH7,CH19",✅ 有机器候选（建议确认）,CH7,患者，男，57岁。因急性肾衰竭入院，除了给予常规的抗炎、激素、抗凝治疗外，医生还联合应用呋塞米和多巴胺治疗。应用多巴胺的作用是,A. 激动多巴胺受体，扩张肾血管 / B. 激动β1受体，兴奋心脏 / C. 激动β2受体，扩张血管 / D. 激动α1受体，收缩外周血管 / E. 中枢作用扩张血管,A,
01-178,"CH7,CH20",🔒 保留并列（无信号，需裁决）,—,患者，女，55岁，体检血压为150/100mmHg，拟采用β受体阻断药A药或B药进行降压治疗。已知A药比B药的pD2值大，下述说法正确的是,A. B药疗效比A药差 / B. B药内在活性比A药高 / C. A药毒性比B药小 / D. A药与受体的亲和力比B药高 / E. A药作用持续时间比B药短,D,
01-172,"CH7,CH20,CH25",✅ 有机器候选（建议确认）,CH7,患者，男，50岁。支气管哮喘10年，高血压病史14年。近日因感冒哮喘发作，除抗感染治疗外，拟选用β受体阻断剂降血压，应选择,A. 普萘洛尔 / B. 噻吗洛尔 / C. 吲哚洛尔 / D. 美托洛尔 / E. 纳多洛尔,D,
02-124,"CH7,CH21",🔒 保留并列（无信号，需裁决）,—,普萘洛尔治疗心绞痛的主要药理作用是,A. 抑制心肌收缩力，减慢心率 / B. 扩张冠脉 / C. 降低心脏前负荷 / D. 降低左室壁张力 / E. 以上都不是,A,
02-266,"CH7,CH21",🔒 保留并列（无信号，需裁决）,—,普萘洛尔治疗心绞痛时，可产生下列哪种作用,A. 增加心收缩力，减慢心率 / B. 心室容积增大，射血时间延长 / C. 扩张冠脉 / D. 扩张动脉 / E. 抑制心肌收缩力，增快心率,B,
01-185,"CH7,CH25",✅ 有机器候选（建议确认）,CH25,患者，女，28岁。有支气管哮喘病史20余年。近日病情复发，出现呼吸困难、喘息、咳嗽、胸闷等症状。医生给予拟肾上腺素药物通过激动支气管平滑肌上的β2受体迅速控制哮喘症状，下列对β2受体有较强选择性的平喘药是,A. 肾上腺素 / B. 异丙肾上腺素 / C. 沙丁胺醇 / D. 多巴酚丁胺 / E. 色甘酸钠,C,
02-257,"CH7,CH25",✅ 有机器候选（建议确认）,CH7,普萘洛尔禁用于支气管哮喘的机理是,A. 阻断支气管平滑肌β2受体 / B. 阻断支气管平滑肌β1受体 / C. 阻断支气管平滑肌α受体 / D. 阻断支气管平滑肌M受体 / E. 激动支气管平滑肌M受体,A,
01-123,"CH7,CH29",🔒 保留并列（无信号，需裁决）,—,患者，男，73岁，心脏病史20年，左心肥厚伴肺水肿，近日加重入院治疗。诊断为心源性哮喘，可选用下列哪种药物,A. 肾上腺素 / B. 异丙肾上腺素 / C. 氢化可的松 / D. 吗啡 / E. 克伦特罗,D,
